sequence,source_index,source_time_s,replay_cycle,capture_s,output_s,processing_ms,frame_age_ms,core_ms,distance_render_ms,depth_age_ms,depth_valid,depth_status,edge_pixels,valid_depth_edge_pixels
146,26,2.6,1,215326.8854543,215326.8921471,6.130699999630451,6.692800001474097,2.3423999955412,2.3475000052712858,0.0,True,ok,4933,4933
147,27,2.7,1,215326.9187853,215326.9256323,5.655000015394762,6.847000011475757,2.2151000157464296,2.076699980534613,33.330999984173104,True,ok,4889,4889
148,28,2.8000000000000003,1,215326.9522719,215326.9589282,5.749900010414422,6.656300014583394,2.2075999877415597,2.2012999979779124,33.486600004835054,True,ok,4508,4508
149,29,2.9000000000000004,1,215326.9853526,215326.9923834,6.469500018283725,7.030800014035776,2.586599992355332,2.528199984226376,0.0,True,ok,4516,4516
150,30,3.0,1,215327.0187722,215327.0252227,5.750500014983118,6.450499990023673,2.288899995619431,2.1262000082060695,0.0,True,ok,4326,4326
151,31,3.1,1,215327.0517373,215327.0583847,5.857600015588105,6.647400005022064,2.4884000013116747,1.872299995739013,0.0,True,ok,4407,4407
152,32,3.2,1,215327.085401,215327.0915643,5.6585000129416585,6.163300015032291,2.3612000222783536,1.967999996850267,0.0,True,ok,4113,4113
153,33,3.3000000000000003,1,215327.1185119,215327.1254151,6.350699986796826,6.903200002852827,2.5705999869387597,2.4369999882765114,0.0,True,ok,4211,4211
154,34,3.4000000000000004,1,215327.1522846,215327.1584918,5.419199995230883,6.207200000062585,2.241499983938411,1.8792999908328056,0.0,True,ok,4198,4198
155,35,3.5,1,215327.1850782,215327.1926242,6.626099988352507,7.545999978901818,2.8796000115107745,2.4443999864161015,32.79360002488829,True,ok,4125,4125
156,36,3.6,1,215327.2188026,215327.2254046,5.859400000190362,6.60200000857003,2.365799999097362,2.208299993071705,0.0,True,ok,4267,4267
157,37,3.7,1,215327.2520226,215327.2581882,5.663999996613711,6.165600003441796,2.4216999881900847,1.959099987288937,0.0,True,ok,3805,3805
158,38,3.8000000000000003,1,215327.2849708,215327.2913897,5.825100000947714,6.418899982236326,2.437799994368106,2.1662999934051186,0.0,True,ok,3921,3921
159,39,3.9000000000000004,1,215327.3186932,215327.325823,6.554499996127561,7.129799982067198,2.9869000136386603,2.2081999923102558,0.0,True,ok,3864,3864
160,40,4.0,1,215327.3518225,215327.3581307,5.609300016658381,6.308200012426823,2.345600019907579,1.8854000081773847,0.0,True,ok,3828,3828
161,41,4.1000000000000005,1,215327.3849245,215327.3908074,5.2803999860771,5.882900004507974,2.180200011935085,1.8989999953191727,0.0,True,ok,3659,3659
162,42,4.2,1,215327.4186934,215327.4250353,5.425499984994531,6.341900007100776,2.1730000153183937,1.9992000015918165,0.0,True,ok,3989,3989
163,43,4.3,1,215327.451686,215327.4581128,5.797999998321757,6.426800013286993,2.3273999977391213,2.162300021154806,0.0,True,ok,4294,4294
164,44,4.4,1,215327.4854138,215327.4919242,5.87900000391528,6.510400009574369,2.1834000071976334,2.315899997483939,0.0,True,ok,4623,4623
165,45,4.5,1,215327.5187986,215327.5257874,6.300100008957088,6.988799985265359,2.4451000208500773,2.3956999939400703,0.0,True,ok,4708,4708
166,46,4.6000000000000005,1,215327.5518748,215327.5583666,5.65669999923557,6.491799984360114,2.3649999930057675,2.0032000029459596,0.0,True,ok,4834,4834
167,47,4.7,1,215327.5851603,215327.5921648,6.446800020057708,7.004500017501414,2.9073000187054276,2.2350999934133142,0.0,True,ok,4677,4677
168,48,4.800000000000001,1,215327.6189535,215327.6249062,5.40340002044104,5.952700012130663,2.165400015655905,1.9906999950762838,0.0,True,ok,4591,4591
169,49,4.9,1,215327.6521631,215327.6585147,5.642499978421256,6.35159999364987,2.3883999965619296,1.9805000047199428,0.0,True,ok,4442,4442
170,50,5.0,1,215327.6853147,215327.6917226,5.805199994938448,6.40789998578839,2.372499991906807,2.080800011754036,0.0,True,ok,4408,4408
171,51,5.1000000000000005,1,215327.7182865,215327.7248088,5.892500019399449,6.522300012875348,2.3828000121284276,2.2117999906186014,0.0,True,ok,4418,4418
172,52,5.2,1,215327.7517262,215327.7580249,5.72190000093542,6.298699998296797,2.282000001287088,2.1055999968666583,0.0,True,ok,4600,4600
173,53,5.300000000000001,1,215327.7850303,215327.7913012,5.519700003787875,6.270899990340695,2.2595000045839697,1.997100014705211,0.0,True,ok,4489,4489
174,54,5.4,1,215327.8186844,215327.8249104,5.56779999169521,6.225999997695908,2.282700006617233,2.03719999990426,0.0,True,ok,4625,4625
175,55,5.5,1,215327.8522432,215327.8583421,5.5145999940577894,6.098899990320206,2.20320001244545,2.0456000056583434,0.0,True,ok,4379,4379
176,56,5.6000000000000005,1,215327.8853668,215327.8915862,5.595000024186447,6.219400005647913,2.4141999892890453,1.9398000149521977,0.0,True,ok,4212,4212
177,57,5.7,1,215327.9182432,215327.9244032,5.73690002784133,6.160000019008294,2.337600017199293,2.207399986218661,0.0,True,ok,4229,4229
178,58,5.800000000000001,1,215327.9520268,215327.9588367,6.255200016312301,6.809900020016357,2.6842000079341233,2.219599991803989,0.0,True,ok,4294,4294
